"danceability","energy","acousticness","tempo","loudness"
0.53,0.511,0.373,144.005,-11.252
0.554,0.403,0.789,111.087,-12.905
0.304,0.219,0.738,86.239,-15.617
0.515,0.766,0.0249,146.911,-12.768
0.589,0.348,0.685,119.374,-11.032
0.485,0.911,8.67e-05,89.956,-5.749
0.569,0.744,0.0559,96.596,-6.48
0.491,0.909,0.654,143.415,-5.21
0.476,0.514,0.726,103.23,-9.944
0.541,0.953,0.048,111.378,-4.229
0.625,0.509,0.231,125.045,-15.562
0.43,0.683,0.13,187.354,-5.578
0.699,0.282,0.798,79.776,-7.65
0.474,0.734,0.0871,101.751,-8.813
0.585,0.732,0.352,127.828,-8.662
0.316,0.546,0.577,204.062,-7.31
0.549,0.45,0.65,96.309,-7.037
0.375,0.574,0.143,132.025,-5.305
0.674,0.726,0.126,160.067,-3.813
0.609,0.799,0.0188,132.961,-10.352
0.561,0.813,0.103,121.075,-5.465
0.432,0.887,0.000762,92.531,-3.103
0.264,0.32,0.885,138.108,-11.716
0.829,0.808,0.108,115.347,-10.874
0.385,0.682,0.642,172.255,-6.358
0.66,0.829,0.029,123.924,-7.664
0.645,0.77,0.0473,165.033,-6.871
0.699,0.348,0.721,117.295,-11.388
0.396,0.365,0.443,91.099,-7.985
0.745,0.444,0.107,121.695,-15.32
0.75,0.629,0.294,101.472,-9.978
0.897,0.366,0.00889,100.003,-8.029
0.636,0.804,0.0765,125.604,-7.674
0.681,0.713,0.439,115.938,-8.147
0.613,0.61,0.211,160.004,-8.633
0.778,0.306,0.814,111.064,-14.382
0.669,0.855,0.0124,120.045,-3.035
0.624,0.728,0.141,152.088,-6.39
0.688,0.818,0.0391,117.564,-12.524
0.549,0.437,0.538,83.432,-9.709
0.502,0.786,0.255,169.021,-4.378
0.546,0.857,0.0161,96.852,-5.014
0.652,0.854,0.00573,123.853,-10.061
0.53,0.748,0.592,145.063,-8.004
0.784,0.811,0.0983,104.97,-2.218
0.645,0.425,0.46,140.995,-8.352
0.806,0.798,0.000146,128.002,-8.768
0.577,0.84,0.279,114.684,-8.153
0.372,0.258,0.933,143.285,-12.183
0.691,0.648,0.488,92.854,-7.381
0.823,0.411,0.409,90.997,-7.061
0.907,0.628,0.448,94.027,-2.551
0.681,0.778,0.368,138.718,-7.566
0.682,0.752,0.476,81.081,-9.521
0.935,0.472,0.0455,130.041,-9.304
0.843,0.391,0.181,129.972,-7.899
0.342,0.249,0.87,94.746,-11.812
0.745,0.755,0.0626,133.771,-7.53
0.589,0.962,0.0502,103.396,-6.815
0.823,0.602,0.0268,120.971,-16.175
0.55,0.618,0.563,110.738,-11.138
0.584,0.621,0.0715,92.003,-5.703
0.495,0.894,0.136,168.062,-4.89
0.762,0.7,0.00261,116.073,-6.021
0.494,0.913,0.000165,99.92,-5.289
0.467,0.49,0.688,104.629,-9.728
0.623,0.331,0.966,90.308,-9.349
0.589,0.913,0.0133,131.979,-4.454
0.834,0.284,0.657,92.224,-13.497
0.863,0.657,0.264,115.958,-7.295
0.372,0.535,0.0048,137.925,-6.733
0.58,0.571,0.378,128.15,-9.116
0.738,0.328,0.0935,56.999,-9.452
0.581,0.963,0.0295,129.992,-4.087
0.786,0.372,0.19,102.237,-17.765
0.753,0.869,0.0238,106.01,-2.466
0.621,0.625,0.105,97.051,-10.889
0.632,0.446,0.727,124.59,-14.436
0.712,0.379,0.83,121.773,-13.293
0.667,0.667,0.135,130.982,-11.442
0.604,0.84,0.112,118.954,-5.519
0.355,0.217,0.797,150.351,-16.124
0.464,0.758,0.439,139.802,-7.5
0.749,0.53,0.195,121.395,-12.94
0.962,0.573,0.0161,125.035,-5.924
0.485,0.976,0.232,148.924,-4.362
0.523,0.389,0.566,119.983,-10.754
0.662,0.322,0.178,138.961,-15.989
0.568,0.799,0.895,112.038,-8.562
0.507,0.564,0.465,126.734,-9.53
0.334,0.219,0.93,87.497,-14.843
0.541,0.575,0.674,78.3,-6.993
0.528,0.245,0.636,124.944,-13.35
0.633,0.927,0.00413,97.955,-4.219
0.886,0.672,0.0363,91.976,-4.394
0.361,0.23,0.917,124.568,-14.915
